Date,signal,stop_loss,tp1,atr
2025-10-02 00:00:00-04:00,NEUTRAL,25110.0,25110.0,279.1825782703467
2025-10-03 00:00:00-04:00,LONG,24295.102943300983,25549.517645359214,278.7588226796077
2025-10-06 00:00:00-04:00,NEUTRAL,25184.75,25184.75,277.4724782024929
2025-10-07 00:00:00-04:00,NEUTRAL,25039.25,25039.25,278.3851583308862
2025-10-08 00:00:00-04:00,LONG,24624.302311017585,25896.35815118593,282.6790755929658
2025-10-09 00:00:00-04:00,LONG,24591.378931659186,25847.54685467265,279.14842733632537
2025-10-10 00:00:00-04:00,LONG,23529.42329368353,25091.061365053174,347.03068252658784
2025-10-13 00:00:00-04:00,LONG,24015.21448699185,25647.87841040652,362.81420520326014
2025-10-14 00:00:00-04:00,NEUTRAL,24762.5,24762.5,381.4167619744559
2025-10-15 00:00:00-04:00,LONG,23958.398588273583,25697.38112938113,386.44056469056613
2025-10-16 00:00:00-04:00,NEUTRAL,24831.25,24831.25,397.12338149838286
2025-10-17 00:00:00-04:00,LONG,23949.293935807327,25816.26485135414,414.8824256770698
2025-10-20 00:00:00-04:00,LONG,24270.9247261068,26132.710219114557,413.7301095572791
2025-10-21 00:00:00-04:00,LONG,24304.885459956316,26086.641632034945,395.9458160174735
2025-10-22 00:00:00-04:00,NEUTRAL,25039.25,25039.25,405.7711148733682
2025-10-23 00:00:00-04:00,LONG,24247.924197615393,26058.860641907682,402.43032095384194
2025-10-24 00:00:00-04:00,LONG,24518.47425492858,26301.870596057135,396.31029802856756
2025-10-27 00:00:00-04:00,LONG,24953.699308147967,26771.790553481624,404.02027674081273
2025-10-28 00:00:00-04:00,LONG,25174.077928994542,26955.037656804365,395.76882840218326
2025-10-29 00:00:00-04:00,LONG,25284.733076923505,27044.713538461197,391.10676923059873
2025-10-30 00:00:00-04:00,LONG,24877.323571428966,26687.091142856825,402.1705714284131
2025-10-31 00:00:00-04:00,LONG,25000.523673469754,26806.781061224196,401.39053061209785
2025-11-03 00:00:00-05:00,LONG,25124.664839650486,26886.11812827961,391.4340641398052
2025-11-04 00:00:00-05:00,NEUTRAL,25575.25,25575.25,405.02805955839057
2025-11-05 00:00:00-05:00,LONG,24699.220576025164,26583.87353917987,418.8117695899341
2025-11-06 00:00:00-05:00,NEUTRAL,25244.25,25244.25,433.5037860477959
2025-11-07 00:00:00-05:00,NEUTRAL,25166.25,25166.25,448.6463727586676
2025-11-10 00:00:00-05:00,NEUTRAL,25714.5,25714.5,459.0466318473342
2025-11-11 00:00:00-05:00,LONG,24523.27567606869,26534.729459145048,446.9897295725246
2025-11-12 00:00:00-05:00,LONG,24525.15777063521,26502.623783491832,439.4368917459157
2025-11-13 00:00:00-05:00,NEUTRAL,25094.75,25094.75,459.405685192636
2025-11-14 00:00:00-05:00,NEUTRAL,25094.0,25094.0,474.2517076788763
2025-11-17 00:00:00-05:00,NEUTRAL,24879.0,24879.0,485.34087141609945
2025-11-18 00:00:00-05:00,NEUTRAL,24595.75,24595.75,492.3343806006638
2025-11-19 00:00:00-05:00,NEUTRAL,24721.75,24721.75,495.9533534149021
2025-11-20 00:00:00-05:00,NEUTRAL,24131.5,24131.5,548.867399599552
2025-11-21 00:00:00-05:00,NEUTRAL,24305.5,24305.5,559.0732996281554
2025-11-24 00:00:00-05:00,NEUTRAL,24948.25,24948.25,568.2823496547157
2025-11-25 00:00:00-05:00,LONG,23671.049902587267,26217.060077930186,565.7800389650931
2025-11-26 00:00:00-05:00,LONG,23932.626695259605,26397.948643792315,547.8493218961579
2025-11-28 00:00:00-05:00,LONG,24171.992645598206,26530.005883521437,524.002941760718
